2026-03-19 14:52:53 [INFO   ] EmbedSim.sink — EmbedSim init  T=0.8 s  dt=0.0005 s  solver=EULER  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\sink_20260319_145253.log
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00002  t=0.001000 s  cg_start                        (CodeGenStart)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00002  t=0.001000 s  svpwm                           (SVPWMBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00002  t=0.001000 s  motor_sink                      (DB42S02PlantBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00002  t=0.001000 s  sink                            (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00002  t=0.001000 s  cg_end                          (CodeGenEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00002  t=0.001000 s  sink_cg                         (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.001500 s  speed_ref                       (SpeedRampBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.001500 s  vf_angle                        (VfAngleWithBoostBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.001500 s  vf_dq                           (VfDQBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.001500 s  vf_theta                        (VfThetaBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.001500 s  inv_park                        (InvParkTransformBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.001500 s  svpwm_pack                      (SVPWMPackBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.001500 s  cg_start                        (CodeGenStart)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.001500 s  svpwm                           (SVPWMBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.001500 s  motor_sink                      (DB42S02PlantBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.001500 s  sink                            (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.001500 s  cg_end                          (CodeGenEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.001500 s  sink_cg                         (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.002000 s  speed_ref                       (SpeedRampBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.002000 s  vf_angle                        (VfAngleWithBoostBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.002000 s  vf_dq                           (VfDQBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.002000 s  vf_theta                        (VfThetaBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.002000 s  inv_park                        (InvParkTransformBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.002000 s  svpwm_pack                      (SVPWMPackBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.002000 s  cg_start                        (CodeGenStart)
