2026-03-19 15:56:18 [INFO   ] EmbedSim.sink — EmbedSim init  T=0.4 s  dt=0.0001 s  solver=EULER  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\sink_20260319_155618.log
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — PARSE  speed_ref                       type=SpeedRampBlock             dynamic=False  loop_breaker=False
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — PARSE  vf_angle                        type=VfAngleBlock               dynamic=False  loop_breaker=False
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — PARSE  vf_dq                           type=VfDQBlock                  dynamic=False  loop_breaker=False
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — PARSE  vf_theta                        type=VfThetaBlock               dynamic=False  loop_breaker=False
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — PARSE  inv_park                        type=InvParkTransformBlock      dynamic=False  loop_breaker=False
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — PARSE  svpwm_pack                      type=SVPWMPackBlock             dynamic=False  loop_breaker=False
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — PARSE  cg_start                        type=CodeGenStart               dynamic=False  loop_breaker=False
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — PARSE  svpwm                           type=SVPWMBlock                 dynamic=False  loop_breaker=False
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — PARSE  motor_sink                      type=DB42S02PlantBlock          dynamic=False  loop_breaker=False
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — PARSE  sink                            type=VectorEnd                  dynamic=False  loop_breaker=False
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — PARSE  cg_end                          type=CodeGenEnd                 dynamic=False  loop_breaker=False
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — PARSE  sink_cg                         type=VectorEnd                  dynamic=False  loop_breaker=False
2026-03-19 15:56:18 [INFO   ] EmbedSim.sink — Graph resolved: 12 blocks  (0 dynamic, 12 static, 0 loop breakers)
2026-03-19 15:56:18 [INFO   ] EmbedSim.sink — run() start  T=0.4 s  dt=0.0001 s  steps=4000  solver=EULER
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  speed_ref                       (SpeedRampBlock)
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  vf_angle                        (VfAngleBlock)
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  vf_dq                           (VfDQBlock)
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  vf_theta                        (VfThetaBlock)
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  inv_park                        (InvParkTransformBlock)
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  svpwm_pack                      (SVPWMPackBlock)
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  cg_start                        (CodeGenStart)
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  svpwm                           (SVPWMBlock)
2026-03-19 15:56:18 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  motor_sink                      (DB42S02PlantBlock)
2026-03-19 15:56:19 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  sink                            (VectorEnd)
2026-03-19 15:56:19 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  cg_end                          (CodeGenEnd)
2026-03-19 15:56:19 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  sink_cg                         (VectorEnd)
2026-03-19 15:56:19 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000100 s  speed_ref                       (SpeedRampBlock)
2026-03-19 15:56:19 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000100 s  vf_angle                        (VfAngleBlock)
